participant_id,full_name,email,email_valid,state,age,gender,education_level,program,start_date,end_date,program_duration_days,status,attendance_pct,final_score,employed_before,employed_after,employment_change,income_before,income_after,income_change,satisfaction_score
P0001,Participant 1,participant1@gmail.com,True,Estado de México,26.0,Male,Undergraduate,Excel for Business,2025-08-24,2025-10-12,49.0,Completed,75.5,79.2,Unknown,Yes,Unknown,5000.0,8957.24,3957.24,
P0002,Participant 2,participant2@gmail.com,True,Chiapas,28.0,Not specified,Secondary,Data Analytics,2025-02-20,2025-05-05,74.0,Completed,31.0,93.4,No,Unknown,Unknown,3229.94,1887.79,-1342.15,2.0
P0003,Participant 3,participant3@gmail.com,True,Oaxaca,,Male,Not specified,Excel for Business,2025-02-04,2025-05-12,97.0,Unknown,,,No,No,Remained unemployed,8298.56,10901.11,2602.550000000001,5.0
P0004,Participant 4,participant4@gmail.com,True,Ciudad de México,17.0,Not specified,Graduate,Employability Skills,2025-07-25,2025-11-08,106.0,Completed,,65.3,No,No,Remained unemployed,7246.0,8137.07,891.0699999999997,2.0
P0005,Participant 5,participant5@yahoo.com,True,Ciudad de México,25.0,Female,Not specified,Data Analytics,2025-03-04,2025-04-03,30.0,Dropped,,63.9,Yes,Yes,Remained employed,7303.76,8425.39,1121.6299999999992,
P0006,Participant 6,participant6@yahoo.com,True,Chiapas,22.0,Female,Secondary,Digital Marketing,2025-06-21,2025-10-04,105.0,Completed,81.8,89.2,No,No,Remained unemployed,4885.63,4700.23,-185.40000000000055,4.0
P0007,Participant 7,participant7@gmail.com,True,Oaxaca,29.0,Female,Graduate,Python Basics,2025-05-31,2025-07-04,34.0,In progress,92.3,,No,No,Remained unemployed,3199.02,1845.27,-1353.75,
P0008,Participant 8,participant8@gmail.com,True,Ciudad de México,30.0,Male,Undergraduate,Data Analytics,2025-08-19,2025-11-08,81.0,In progress,87.0,95.9,No,No,Remained unemployed,5742.69,8686.25,2943.5600000000004,
P0009,Participant 9,participant9@example.org,True,Estado de México,,Not specified,Graduate,Excel for Business,2025-04-23,2025-07-13,81.0,Dropped,82.7,65.0,No,Unknown,Unknown,4448.39,5358.08,909.6899999999996,3.0
P0010,Participant 10,participant10@yahoo.com,True,Yucatán,26.0,Female,High school,Python Basics,2025-06-09,2025-09-06,89.0,In progress,,70.1,No,No,Remained unemployed,5019.1,6761.89,1742.79,2.0
P0011,Participant 11,participant11@example.org,True,Estado de México,28.0,Not specified,Undergraduate,Employability Skills,2025-06-07,2025-08-30,84.0,Completed,61.6,89.0,Yes,Yes,Remained employed,,10393.17,,2.0
P0012,Participant 12,participant12@gmail.com,True,Jalisco,20.0,Not specified,Undergraduate,Data Analytics,2025-04-09,2025-05-05,26.0,In progress,87.7,71.0,Yes,Yes,Remained employed,3541.87,4162.16,620.29,5.0
P0013,Participant 13,participant13@yahoo.com,True,Estado de México,,Not specified,Not specified,Digital Marketing,2025-06-01,2025-09-03,94.0,Completed,81.3,85.1,Yes,Yes,Remained employed,7454.56,9594.05,2139.489999999999,3.0
P0014,Participant 14,participant14@outlook.com,True,Estado de México,25.0,Not specified,Undergraduate,Python Basics,2025-03-09,2025-04-30,52.0,Unknown,88.2,80.0,No,No,Remained unemployed,0.0,-245.72,-245.72,5.0
P0015,Participant 15,participant15@example.org,True,Jalisco,29.0,Male,High school,Python Basics,2025-01-21,2025-03-11,49.0,Unknown,95.3,,No,No,Remained unemployed,5867.44,7046.84,1179.4000000000005,1.0
P0016,Participant 16,participant16@gmail.com,True,Ciudad de México,26.0,Male,Not specified,Python Basics,2025-02-06,2025-03-21,43.0,Completed,,,No,No,Remained unemployed,1041.87,1804.23,762.3600000000001,4.0
P0017,Participant 17,participant17@example.org,True,Chiapas,18.0,Not specified,Undergraduate,Python Basics,2025-08-06,2025-09-11,36.0,Completed,67.3,65.9,Yes,Unknown,Unknown,1445.76,579.86,-865.9,
P0018,Participant 18,participant18@yahoo.com,True,Yucatán,32.0,Male,High school,Employability Skills,2025-04-08,2025-07-02,85.0,Unknown,66.0,61.7,No,No,Remained unemployed,4110.14,7200.0,3089.8599999999997,2.0
P0019,Participant 19,,False,Estado de México,24.0,Not specified,High school,Python Basics,2025-04-09,2025-06-22,74.0,Completed,,86.3,Unknown,Yes,Unknown,799.22,4177.94,3378.7199999999993,
P0020,Participant 20,participant20@yahoo.com,True,Yucatán,23.0,Not specified,Undergraduate,Excel for Business,2025-08-27,2025-10-19,53.0,Dropped,76.1,76.2,No,Yes,Entered employment,9953.23,9933.88,-19.350000000000364,
P0021,Participant 21,participant21@gmail.com,True,Chiapas,25.0,Male,Not specified,Data Analytics,2025-07-09,,,Completed,88.4,,No,Unknown,Unknown,4342.69,4318.68,-24.00999999999931,3.0
P0022,Participant 22,,False,Estado de México,22.0,Female,Undergraduate,Python Basics,2025-01-01,2025-03-30,88.0,Completed,73.5,67.0,Yes,No,Lost employment,5178.97,5540.77,361.8000000000002,1.0
P0023,Participant 23,participant23@example.org,True,Ciudad de México,31.0,Not specified,High school,Excel for Business,2025-01-12,2025-06-05,144.0,Unknown,87.6,84.7,No,Yes,Entered employment,4822.59,6925.16,2102.5699999999997,5.0
P0024,Participant 24,participant24@outlook.com,True,Estado de México,30.0,Not specified,Not specified,Excel for Business,2025-04-30,2025-06-24,55.0,In progress,57.2,,Yes,Yes,Remained employed,10378.2,11506.05,1127.8499999999985,
P0025,Participant 25,participant25@yahoo.com,True,Nuevo León,34.0,Male,Not specified,Python Basics,2025-04-09,2025-05-28,49.0,Unknown,44.3,77.6,Unknown,No,Unknown,4130.69,2569.37,-1561.3199999999997,1.0
P0026,Participant 26,participant26@outlook.com,True,Ciudad de México,26.0,Male,Secondary,Python Basics,2025-04-21,2025-05-26,35.0,In progress,,92.2,No,Yes,Entered employment,6310.42,7276.16,965.7399999999998,5.0
P0027,Participant 27,participant27@outlook.com,True,Ciudad de México,30.0,Female,Secondary,Excel for Business,2025-03-17,2025-04-14,28.0,Completed,92.2,81.9,Unknown,No,Unknown,3256.86,6212.08,2955.22,1.0
P0028,Participant 28,participant28@yahoo.com,True,Ciudad de México,23.0,Not specified,Undergraduate,Employability Skills,2025-08-05,2025-10-08,64.0,Unknown,70.2,84.4,Yes,Yes,Remained employed,1879.79,546.36,-1333.4299999999998,2.0
P0029,Participant 29,participant29@outlook.com,True,Chiapas,25.0,Not specified,Undergraduate,Digital Marketing,2025-07-09,2025-09-29,82.0,Unknown,,,No,No,Remained unemployed,2993.68,4774.57,1780.8899999999999,2.0
P0030,Participant 30,participant30@gmail.com,True,Yucatán,19.0,Not specified,Graduate,Digital Marketing,2025-02-18,2025-03-23,33.0,Unknown,,89.2,No,Yes,Entered employment,7608.94,6889.56,-719.3799999999992,4.0
