participant_id,full_name,email,state,age,gender,education_level,program,start_date,end_date,status,attendance_pct,final_score,employed_before,employed_after,income_before,income_after,satisfaction_score
P0001,Participant 1,participant1@gmail.com,EdoMex,26,Male,Licenciatura,Excel for Business,2025-08-24,2025-10-12,completed,75.5,79.2,,Sí,"$5,000",8957.24,
P0002,Participant 2,participant2@gmail.com,Chiapas,28,No especificado,Secundaria,Data Analytics,2025-02-20,2025-05-05,completed,31.0,93.4,No,,3229.94,1887.79,2
P0003,Participant 3,participant3@gmail.com,Oaxaca,16,Male,,Excel for Business,2025-02-04,2025-05-12,,112.4,,No,no,8298.56,10901.11,5
P0004,Participant 4,participant4@gmail.com,Cd. México,17,No especificado,Posgrado,Employability Skills,2025-07-25,2025-11-08,COMPLETED,150.0,65.3,no,No,7246.0,8137.07,2
P0005,Participant 5,participant5@yahoo.com,Ciudad de México,25,Female,,Data Analytics,2025-03-04,2025-04-03,Abandoned,107.6,63.9,Sí,Yes,7303.76,8425.39,
P0006,Participant 6,participant6@yahoo.com,Chiapas,22,Mujer,Secundaria,Digital Marketing,2025-06-21,2025-10-04,completed,81.8,89.2,no,No,4885.63,4700.23,4
P0007,Participant 7,participant7@gmail.com,Oaxaca,29,Mujer,Posgrado,Python Basics,2025-05-31,2025-07-04,In progress,92.3,122.5,No,no,3199.02,1845.27,
P0008,Participant 8,participant8@gmail.com,CDMX,30,Male,Universidad,Data Analytics,2025-08-19,2025-11-08,In progress,87.0,95.9,no,no,5742.69,8686.25,
P0009,Participant 9,participant9@example.org,EdoMex,15,,Posgrado,Excel for Business,2025-04-23,2025-07-13,Abandoned,82.7,65.0,no,,4448.39,5358.08,3
P0010,Participant 10,participant10@yahoo.com,Yucatán,26,Female,Bachillerato,Python Basics,2025-06-09,2025-09-06,In progress,105.0,70.1,No,no,5019.1,6761.89,2
P0011,Participant 11,participant11@example.org,EdoMex,28,,Licenciatura,Employability Skills,06/07/2025,2025-08-30,Completed,61.6,89.0,Yes,Yes,,10393.17,2
P0012,Participant 12,participant12@gmail.com,Jalisco,20,No especificado,Universidad,Data Analytics,2025-04-09,2025-05-05,In progress,87.7,71.0,Yes,yes,3541.87,4162.16,5
P0013,Participant 13,participant13@yahoo.com,Estado de México,14,,,Digital Marketing,2025-06-01,2025-09-03,COMPLETED,81.3,85.1,yes,yes,7454.56,9594.05,3
P0014,Participant 14,participant14@outlook.com,Estado de México,25,,Universidad,Python Basics,2025-03-09,2025-04-30,,88.2,80.0,No,No,0,-245.72,5
P0015,Participant 15,participant15@example.org,Jalisco,29,Male,Bachillerato,Python Basics,2025-01-21,2025-03-11,,95.3,109.3,No,No,5867.44,7046.84,1
P0016,Participant 16,participant16@gmail.com,Cd. México,26,M,,Python Basics,2025-02-06,2025-03-21,completed,128.1,-5.0,no,no,1041.87,1804.23,4
P0017,Participant 17,participant17@example.org,Chiapas,18,,Universidad,Python Basics,2025-08-06,2025-09-11,Completed,67.3,65.9,yes,,1445.76,579.86,
P0018,Participant 18,participant18@yahoo.com,Yucatán,32,Hombre,Preparatoria,Employability Skills,2025-04-08,2025-07-02,,66.0,61.7,no,No,4110.14,"$7,200",2
P0019,Participant 19,participant19gmail.com,EdoMex,24,,Bachillerato,Python Basics,2025-04-09,2025-06-22,completed,,86.3,,Sí,799.22,4177.94,
P0020,Participant 20,participant20@yahoo.com,Yucatán,23,,Licenciatura,Excel for Business,2025-08-27,19/10/2025,Abandoned,76.1,76.2,No,Sí,9953.23,9933.88,
P0021,Participant 21,participant21@gmail.com,Chiapas,25,Hombre,,Data Analytics,2025-07-09,05/10/2025,completed,88.4,-5.0,No,,4342.69,4318.68,3
P0022,Participant 22,participant22.com,Estado de México,22,F,Licenciatura,Python Basics,2025-01-01,2025-03-30,completed,73.5,67.0,Sí,no,5178.97,5540.77,1
P0023,Participant 23,participant23@example.org,Ciudad de México,31,,Bachillerato,Excel for Business,2025-01-12,06/05/2025,,87.6,84.7,no,yes,4822.59,6925.16,5
P0024,Participant 24,participant24@outlook.com,EdoMex,30,,,Excel for Business,2025-04-30,2025-06-24,In progress,57.2,100.8,yes,Yes,10378.2,11506.05,
P0025,Participant 25,participant25@yahoo.com,Nuevo León,34,Hombre,,Python Basics,2025-04-09,2025-05-28,,44.3,77.6,,No,4130.69,2569.37,1
P0026,Participant 26,participant26@outlook.com,Ciudad de México,26,Hombre,Secundaria,Python Basics,2025-04-21,2025-05-26,In progress,105.0,92.2,no,Yes,6310.42,7276.16,5
P0027,Participant 27,participant27@outlook.com,CDMX,30,Female,Secundaria,Excel for Business,2025-03-17,2025-04-14,completed,92.2,81.9,,No,3256.86,6212.08,1
P0028,Participant 28,participant28@yahoo.com,Ciudad de México,23,,Licenciatura,Employability Skills,2025-08-05,2025-10-08,,70.2,84.4,Sí,Sí,1879.79,546.36,2
P0029,Participant 29,participant29@outlook.com,Chiapas,25,,Licenciatura,Digital Marketing,2025-07-09,29/09/2025,,104.6,,no,No,2993.68,4774.57,2
P0030,Participant 30,participant30@gmail.com,Yucatán,19,No especificado,Posgrado,Digital Marketing,2025-02-18,2025-03-23,,-10.0,89.2,no,Sí,7608.94,6889.56,4
P0031,Participant 31,participant31@gmail.com,Yucatán,32,Female,Secundaria,Digital Marketing,2025-01-28,2025-05-19,Abandoned,65.4,80.3,Sí,,3998.49,6031.39,
P0032,Participant 32,participant32@outlook.com,Estado de México,15,Male,,Excel for Business,30/01/2025,2025-02-23,,66.4,62.8,Sí,No,9711.71,7797.14,2
P0033,Participant 33,participant33@yahoo.com,Puebla,13,Male,Preparatoria,Digital Marketing,2025-07-21,2025-10-31,completed,102.4,80.6,Yes,Sí,8594.54,9803.98,1
P0034,Participant 34,participant34@gmail.com,Ciudad de México,24,Male,Bachillerato,Digital Marketing,2025-05-03,2025-07-11,,53.4,88.4,no,,6330.79,6183.51,4
P0035,Participant 35,participant35@example.org,CDMX,22,M,,Data Analytics,2025-07-10,2025-11-04,,105.0,89.7,yes,,8921.58,12026.74,3
P0036,Participant 36,participant36@example.org,EdoMex,13,No especificado,,Excel for Business,2025-02-22,2025-05-18,In progress,95.7,86.0,,Yes,1241.54,2341.55,3
P0037,Participant 37,participant37@outlook.com,CDMX,26,,Secundaria,Employability Skills,2025-01-01,2025-01-25,Completed,61.1,81.2,No,Sí,7887.86,8133.4,1
P0038,Participant 38,participant38@example.org,Oaxaca,19,,Bachillerato,Data Analytics,2025-06-29,2025-10-05,completed,76.2,82.5,,,5219.18,6021.43,
P0039,Participant 39,participant39@outlook.com,Ciudad de México,25,Female,Licenciatura,Digital Marketing,29/04/2025,2025-06-15,completed,106.7,92.4,no,Sí,6677.59,7232.81,5
P0040,Participant 40,participant40@outlook.com,Chiapas,29,F,Preparatoria,Digital Marketing,2025-03-24,2025-05-24,Abandoned,108.4,92.6,,no,11435.82,14461.98,3
P0041,Participant 41,participant41@outlook.com,Yucatán,12,Hombre,Licenciatura,Employability Skills,24/02/2025,2025-03-24,,94.9,77.7,,,4903.77,5416.33,2
P0042,Participant 42,participant42@yahoo.com,Puebla,21,Hombre,Preparatoria,Data Analytics,2025-03-20,2025-06-22,,73.7,71.1,No,No,3690.0,3931.36,5
P0043,Participant 43,participant43@gmail.com,Ciudad de México,20,,Licenciatura,Python Basics,2025-06-10,2025-07-05,Dropped,60.0,76.5,,No,4733.21,3882.75,2
P0044,Participant 44,participant44@yahoo.com,Ciudad de México,25,Male,Posgrado,Employability Skills,2025-02-18,2025-05-17,COMPLETED,96.1,75.1,Yes,Yes,3691.65,9272.58,4
P0045,Participant 45,participant45@yahoo.com,Chiapas,25,,Secundaria,Python Basics,2025-01-05,2025-04-17,Dropped,79.6,87.9,,yes,9450.34,9580.21,
P0046,Participant 46,participant46@gmail.com,Cd. México,27,Mujer,Preparatoria,Data Analytics,2025-08-13,2025-11-06,COMPLETED,99.6,77.1,yes,Sí,8128.98,7810.6,3
P0047,Participant 47,participant47@yahoo.com,Chiapas,15,Male,Posgrado,Excel for Business,2025-07-15,2025-10-28,Dropped,98.6,89.6,no,Sí,11176.73,11549.88,5
P0048,Participant 48,participant48@example.org,EdoMex,18,F,Preparatoria,Digital Marketing,2025-06-04,2025-09-26,Dropped,37.6,90.1,,Sí,2953.45,9510.6,1
P0049,Participant 49,participant49@gmail.com,Jalisco,31,M,Universidad,Excel for Business,2025-08-24,2025-12-21,,84.4,77.1,yes,no,1869.49,2585.59,5
P0050,Participant 50,participant50@example.org,Oaxaca,21,F,Preparatoria,Data Analytics,2025-08-03,2025-10-18,COMPLETED,67.2,97.6,No,,4676.82,5030.31,5
P0051,Participant 51,participant51@gmail.com,Jalisco,14,,Bachillerato,Digital Marketing,2025-07-06,2025-09-14,COMPLETED,103.5,87.7,no,Yes,8797.1,7196.75,1
P0052,Participant 52,participant52@yahoo.com,CDMX,80,Hombre,Licenciatura,Excel for Business,2025-03-27,2025-07-16,completed,96.7,73.6,No,Sí,6613.5,7839.08,3
P0053,Participant 53,participant53@example.org,Chiapas,18,M,Licenciatura,Excel for Business,2025-07-13,2025-11-01,COMPLETED,49.0,76.6,Sí,No,189.75,1935.34,4
P0054,Participant 54,participant54@gmail.com,Cd. México,30,Hombre,,Excel for Business,2025-05-15,2025-09-04,Dropped,67.8,79.3,yes,No,9037.41,10462.49,2
